time,open,high,low,close,EMA
1569225600,9930.13,9930.13,9930.13,9930.13,NaN
1569330000,9637.93,9665.05,9596.04,9637.63,NaN
1569333600,9620.35,9632.82,9516.22,9535.03,NaN
1569337200,9524.66,9565.79,9421.25,9521.38,NaN
1569340800,9521.68,9586.46,9493.3,9504.38,NaN
1569344400,9501.81,9508.38,9452.11,9469.46,NaN
1569348000,9480.85,9480.95,8602.89,8629.01,NaN
1569351600,8610.18,8792.85,7996.45,8412.29,NaN
1569355200,8404.31,8677.85,8269.51,8593.26,NaN
1569358800,8580.26,8760.17,8518.46,8656.51,NaN
1569362400,8669.64,8718.19,8631.97,8687.7,NaN
1569366000,8685.85,8767.85,8477.77,8519.67,NaN
1569369600,8528.12,8701.54,8528.12,8701.54,NaN
1569373200,8703.63,8724.77,8649.17,8680.23,NaN
1569376800,8691.05,8713.23,8574.61,8586.61,NaN
1569380400,8604.19,8616.08,8574.77,8574.77,NaN
1569384000,8518.5,8545.11,8449.88,8523.89,NaN
1569387600,8489.09,8516.28,8486.61,8505.17,NaN
1569391200,8508.01,8532.22,8482.89,8482.89,NaN
1569394800,8477.23,8478.96,8331.71,8344.39,NaN
1569398400,8329.58,8385.97,8257.35,8266.16,NaN
1569402000,8270.5,8270.5,8270.5,8270.5,NaN
1569405600,8403.67,8451.57,8391.96,8405.43,NaN
1569409200,8432.68,8432.68,8314.48,8329.21,NaN
1569412800,8307.28,8358.61,8263.55,8312.18,NaN
1569416400,8296.02,8396.39,8296.02,8388.94,NaN
1569420000,8391.57,8441.96,8381.01,8384.04,NaN
1569423600,8375,8417.29,8325.99,8325.99,NaN
1569427200,8332.35,8339.3,8247.78,8334.42,NaN
1569430800,8372.4,8395.69,8338.45,8360.98,NaN
1569434400,8385.3,8389.17,8327.11,8336.96,NaN
1569438000,8351.55,8351.55,8328.42,8332.53,NaN
1569441600,8356.2,8504.86,8356.2,8494.72,NaN
1569445200,8487.95,8579.62,8476.96,8579.62,NaN
1569448800,8582.18,8617.59,8431.58,8431.58,NaN
1569452400,8382.67,8452.05,8344.24,8435.28,NaN
1569456000,8434.45,8443.23,8376.81,8376.81,NaN
1569459600,8379.65,8406.95,8359.6,8361.69,NaN
1569463200,8353.56,8381.46,8325.53,8371.76,NaN
1569466800,8363.68,8395.42,8352.64,8368.5,NaN
1569470400,8356.05,8372.62,8343.41,8365.99,NaN
1569474000,8390.59,8419.45,8383.91,8389.78,NaN
1569477600,8395.12,8429.97,8395.12,8396.6,NaN
1569481200,8401.08,8403.6,8368.71,8380,NaN
1569484800,8370,8413.86,8370,8411.75,NaN
1569488400,8419.63,8453.2,8413,8440.87,NaN
1569492000,8441.93,8451.23,8420.63,8451.23,NaN
1569495600,8441.88,8441.88,8399.6,8399.6,NaN
1569499200,8388.7,8429.67,8388.7,8417.59,NaN
1569502800,8422.21,8424.81,8067.02,8225.34,8576.8398
1569506400,8304.84,8342.12,8109.22,8110.05,8558.534317647058
1569510000,8173.43,8224.74,7870.89,7938.6,8534.223167935408
1569513600,7899.29,8000.65,7761.87,7940.8,8510.951671153627
1569517200,7910.21,7971.12,7876.22,7916.71,8487.648076206426
1569520800,7940.16,8165.99,7921.3,8119.32,8473.20383792382
1569524400,8101.9,8113.84,8049.96,8113.84,8459.111138397397
1569528000,8102.36,8153.33,8083.9,8083.9,8444.396976107302
1569531600,8083.9,8083.9,8013,8049.74,8428.920231946231
1569535200,8053.1,8121.71,8033.53,8110.56,8416.435516967947
1569538800,8125.29,8125.53,8064.41,8064.41,8402.63059473391
1569542400,8078.75,8095.87,7965.68,7981.81,8386.127826312972
1569546000,7994.67,8000,7951.75,7988.41,8370.531048810502
1569549600,8009.33,8020.39,7986.3,7998.24,8355.931399837542
1569553200,8000.84,8048.13,7999.67,8015.18,8342.568599843913
1569556800,8027.54,8030.43,7986.3,7986.31,8328.597674359838
1569560400,7986.31,7991.96,7966.37,7974.19,8314.699334188865
1569564000,7986.23,8003.13,7986.23,8003.13,8302.480928926556
1569567600,8044.41,8081.43,8044.41,8063.76,8293.119323870613
1569571200,8064.2,8120.92,8064.2,8072.06,8284.450330777647
1569574800,8043.37,8044.53,8021.97,8021.97,8274.156984472642
1569578400,8056.2,8077.33,8042.34,8057.31,8265.653181159989
1569582000,8059.34,8059.34,7971.32,7988.61,8254.788742683126
