time,open,high,low,close,EMA
1618992000,55313.9,55673.93,54761.22,55445.46,55971.18061079683
1618995600,55396.25,55748.4,55296.59,55591.92,55956.30764566754
1618999200,55566.33,55588.31,54797.58,54896.17,55914.733620347244
1619002800,54896.16,55185.38,54300,54555.13,55861.41583131402
1619006400,54549.36,55553.09,54310.07,55421.49,55844.163837929154
1619010000,55436.35,55673.93,55294.18,55580.52,55833.82486389272
1619013600,55586.38,56321.49,55239.22,56164.24,55846.78232021065
1619017200,56186.32,56344.57,55822.69,56150.12,55858.67791549651
1619020800,56159.67,56344.03,55638.96,55750.36,55854.43015410449
1619024400,55761.5,55823.46,55421.5,55536.96,55841.98034413961
1619028000,55532.96,55607.09,55120.98,55326.76,55821.77562476158
1619031600,55351.75,55718.52,55319.14,55463.66,55807.731874770936
1619035200,55472.74,55472.74,54769.44,54938.54,55773.645918897564
1619038800,54962.51,55201.02,54710.3,54775.8,55734.514706391776
1619042400,54755.06,55025.81,53762.17,54000.01,55666.49491398426
1619046000,54003,54312.98,53626.3,53788.72,55592.856682063306
1619049600,53806.36,54157.29,53185.66,54061.47,55532.80230237455
1619053200,54065.98,54631.13,53884.28,53923.59,55469.69593757555
1619056800,53911.27,53939.79,52588.04,53759.29,55402.62119492552
1619060400,53759.99,54135.68,53318.81,53512.9,55328.514481399034
1619064000,53496.42,54352.48,53451.06,54261.56,55286.67312918731
1619067600,54275.62,54599.89,54031.24,54475.2,55254.8506535329
1619071200,54461.34,54841.08,54377.45,54469.33,55224.0459220218
1619074800,54453.44,54591.13,54110.01,54132.25,55181.230395668004
1619078400,54136.14,54242.53,53108.2,53648.66,55121.12959583788
1619082000,53648.66,54336.74,53259.95,54320.19,55089.720199922675
1619085600,54316.1,54457.28,53882.2,53911.28,55043.506858749235
1619089200,53897.18,55210.28,53897,54839.15,55035.492864288484
1619092800,54874.73,55463.66,54724.89,55029.97,55035.27628137521
1619096400,54996.93,55277.84,54412,54412.01,55010.83446641932
1619100000,54414.93,54856.7,54391.72,54751.72,55000.673114795034
1619103600,54750.63,54836.84,54336.76,54620.33,54985.75769852856
1619107200,54667.69,55147.55,54500,54941.16,54984.0087691745
1619110800,54902.87,55008.31,53405.24,53442.16,54923.544111559815
1619114400,53442.16,53659.97,52729.5,53372.3,54862.71100914571
1619118000,53364.96,53526.45,52220.21,52928.32,54786.852538198815
1619121600,52915.24,52915.24,51500.01,51606.36,54662.12734062239
1619125200,51618.43,52061.69,50481.03,51666.13,54544.63724883328
1619128800,51657.51,52219.99,51320.64,51602.45,54429.25735672217
1619132400,51616.73,52214.45,51469.48,51694.18,54321.99942116444
1619136000,51692.95,52119.17,51271.39,51495,54211.13669876583
1619139600,51509.64,51714.78,49742.9,51060.09,54087.5662399907
1619143200,51060.09,51410.5,48586.85,49946.77,53925.182073716554
1619146800,49988.84,50423.68,49665.14,50297.18,53782.90748259042
1619150400,50297.18,50554.13,49087.08,49176.24,53602.253855822164
1619154000,49172.14,49910.86,48466,49506.81,53441.64821441737
1619157600,49507.99,49516.6,48508.73,49039.84,53269.02828444022
1619161200,49053.22,49492.6,47693.47,47985.15,53061.81737132491
1619164800,47948.65,48824,47509.6,48754.58,52892.90610186119
1619168400,48744.7,48760.33,47876.95,48238.39,52710.376058650945
1619172000,48217.03,49654.37,48136.49,49460.68,52582.93699752738
1619175600,49458.72,50260.09,49291.49,50059.21,52483.967311349836
1619179200,50064.75,50287.65,49235.69,49270.71,52357.95722070867
1619182800,49257.54,49467.15,48558.3,49138.29,52231.69576107303
1619186400,49138.27,49928.7,48833.33,49723.27,52133.32612338389
1619190000,49740.2,49917.51,49000,49843.05,52043.51137344727
1619193600,49843.04,50109.36,49483.22,49830.75,51956.736417625805
1619197200,49866.19,50094.11,49550,49844.6,51873.90753850323
1619200800,49847.87,50784,49637.98,50587.64,51823.4656742482
1619204400,50572.61,50888.88,50428.79,50874.88,51786.266236042386
1619208000,50888.54,51289.72,50461.1,50548.72,51737.73501109955
1619211600,50521.44,50943.91,50301.47,50301.47,51681.410893017215
1619215200,50307.91,50728.86,50163.75,50413.19,51631.676740349874
1619218800,50456.46,51130.97,50456.46,51121.61,51611.674123081255
1619222400,51125.96,51186.03,49581.93,49872.23,51543.46062805846
1619226000,49967.21,50046.18,49704.73,49723.71,51472.09785833068
1619229600,49732.46,50354.02,49344.9,50081.38,51417.559903102025
1619233200,50086.68,50444.7,50024.48,50105.98,51366.125397098025
1619236800,50095.29,50611.11,49917.59,50441.25,51329.855773682415
1619240400,50428.66,50530.42,50187.41,50475.31,51296.344174714475
1619244000,50512.98,50512.98,50165.36,50214.21,51253.90754041195
1619247600,50203.34,50203.34,49675.18,49807.51,51197.18606823893
1619251200,49754.98,50210.52,49711.35,49742.38,51140.13484987662
1619254800,49750.01,49777.77,49445.7,49503.22,51075.94211066577
1619258400,49506.01,49506.01,48955.55,49028.18,50995.63771416907
1619262000,49007.74,49500,48675.17,49076.11,50920.36211753498
1619265600,49060.1,49768.16,48931.69,49544.13,50866.39223057283
1619269200,49551.36,49739.88,49352.6,49566.04,50815.39802545233
1619272800,49502.45,49533.32,49131.45,49304.34,50756.14084798361
1619276400,49276.58,50334.69,48936.41,50211.96,50734.80042257249
1619280000,50220.33,50288.61,49849.62,49906.27,50702.309033451995
1619283600,49884.57,50142.5,49659.45,50111.63,50679.14514978721
1619287200,50137.25,50786.63,49982.49,50592.84,50675.76063410928
1619290800,50592.84,50890.16,50574.83,50676.58,50675.792766105
1619294400,50722.46,50972.68,50546.47,50885.31,50684.009128218524
1619298000,50939,50987.35,50635.43,50855.71,50690.74249573937
1619301600,50883.34,50928.88,50262.85,50324.69,50676.38749590645
1619305200,50307.62,50513.74,49929.57,50042.37,50651.52406469443
1619308800,50082.49,50294.6,49733.58,49816.79,50618.78939549073
1619312400,49842.72,50298.77,49814.38,50179.55,50601.564321157755
1619316000,50150.7,50443.97,50143.08,50293.29,50589.475132092746
1619319600,50313.03,50315.25,49595.96,49622.64,50551.56002887342
1619323200,49637.24,49767.47,49411.89,49631.24,50515.469047348975
1619326800,49666.66,49833.33,49645.79,49794.87,50487.21026117843
1619330400,49780.09,49841.72,49306.6,49380.73,50443.818878387116
1619334000,49422.24,49722.11,49125.12,49664.3,50413.24951060723
1619337600,49716.08,50293.03,49520.9,50090.36,50400.58717685793
1619341200,50094.64,50212,49167.98,49456.84,50363.577483647816
1619344800,49482.13,49903.61,49188.42,49359.81,50324.214052916526
1619348400,49336.95,49671.57,49257.85,49561.08,50294.28722731196
1619352000,49537.36,49924.55,49460.9,49857.26,50277.14890467227
1619355600,49860.9,50159.84,49763.65,49876.64,50261.44267311649
1619359200,49877.16,50471.73,49704.53,50339.38,50264.49903887663
1619362800,50347.32,50571.42,50195.24,50249.53,50263.91201774422
1619366400,50285.07,50351.39,50050.56,50342.21,50266.98252685228
1619370000,50414.31,50427,49789.34,49933.06,50253.887525799255
1619373600,49916.45,49944.02,49493.89,49624.66,50229.21193655222
1619377200,49617.42,49779.97,49309.05,49336.4,50194.19970374626
