time,open,high,low,close
1546300800,0.04057,0.04059,0.03995,0.04035
1546304400,0.0404,0.04048,0.03987,0.04
1546308000,0.04004,0.04004,0.03964,0.03991
1546311600,0.03988,0.04021,0.03985,0.0402
1546315200,0.0402,0.04068,0.04017,0.04043
1546318800,0.04043,0.04063,0.04043,0.04054
1546322400,0.04051,0.04068,0.04031,0.04061
1546326000,0.04062,0.04092,0.04053,0.0409
1546329600,0.04091,0.04123,0.04071,0.04105
1546333200,0.04106,0.04106,0.04057,0.04069
1546336800,0.04066,0.041,0.04064,0.04089
1546340400,0.04092,0.04099,0.04074,0.04076
1546344000,0.04076,0.04121,0.04053,0.04103
1546347600,0.041,0.04138,0.04066,0.04094
1546351200,0.04093,0.04093,0.04014,0.04045
1546354800,0.04045,0.04045,0.04005,0.04032
1546358400,0.04035,0.04055,0.04018,0.04053
1546362000,0.04052,0.04055,0.0402,0.04034
1546365600,0.04035,0.04039,0.0399,0.04008
1546369200,0.04007,0.04099,0.04005,0.04086
1546372800,0.04084,0.04167,0.04083,0.04134
1546376400,0.04132,0.04172,0.041,0.04118
1546380000,0.04117,0.0414,0.04091,0.0413
1546383600,0.0413,0.042,0.04111,0.04198
1546387200,0.04195,0.04219,0.0416,0.04191
1546390800,0.04192,0.04198,0.04154,0.04157
1546394400,0.04162,0.0418,0.0415,0.04172
1546398000,0.04172,0.04209,0.0416,0.04173
1546401600,0.04174,0.04182,0.04155,0.04178
1546405200,0.04177,0.04177,0.0415,0.04165
1546408800,0.04167,0.04175,0.04117,0.0414
1546412400,0.0414,0.04198,0.04131,0.04176
1546416000,0.04181,0.04242,0.04176,0.04213
1546419600,0.04213,0.04216,0.04176,0.04182
1546423200,0.04184,0.04275,0.0417,0.04253
1546426800,0.04253,0.04333,0.0423,0.04276
1546430400,0.04269,0.04289,0.04238,0.04288
1546434000,0.04288,0.0434,0.04269,0.04311
1546437600,0.04309,0.04325,0.0426,0.04289
1546441200,0.04289,0.04291,0.04221,0.04251
1546444800,0.04252,0.04387,0.0425,0.04333
1546448400,0.04333,0.04345,0.0429,0.04329
1546452000,0.04329,0.04371,0.04296,0.04359
1546455600,0.0436,0.04377,0.04327,0.04361
1546459200,0.04362,0.04399,0.04331,0.04392
1546462800,0.04391,0.04435,0.04368,0.04425
1546466400,0.04428,0.04474,0.044,0.04468
