time,open,high,low,close
1546300800,6.1139,6.1228,6.04,6.0425
1546304400,6.041,6.0504,5.9701,5.9821
1546308000,5.9822,6.0474,5.9,5.9351
1546311600,5.9317,5.9399,5.85,5.8648
1546315200,5.8601,5.9303,5.85,5.9175
1546318800,5.908,5.9375,5.9001,5.9343
1546322400,5.9337,5.9546,5.9237,5.9503
1546326000,5.9439,5.9707,5.94,5.9531
1546329600,5.9517,5.9696,5.9263,5.9368
1546333200,5.9342,5.9429,5.8808,5.8895
1546336800,5.8896,5.9466,5.8861,5.9439
1546340400,5.944,5.979,5.9393,5.9592
1546344000,5.9602,5.9646,5.9136,5.9527
1546347600,5.9465,5.9793,5.9286,5.9475
1546351200,5.9408,5.9457,5.8887,5.8948
1546354800,5.8942,5.8948,5.8,5.8307
1546358400,5.8353,5.8395,5.8001,5.8369
1546362000,5.8398,5.8815,5.8283,5.8453
1546365600,5.8457,5.8457,5.7735,5.8109
1546369200,5.8011,5.8625,5.801,5.854
1546372800,5.8514,5.9271,5.8413,5.9
1546376400,5.9041,5.9451,5.862,5.8926
1546380000,5.8928,5.9176,5.8536,5.9148
1546383600,5.9148,5.9939,5.9006,5.991
1546387200,5.991,6,5.9375,5.9473
1546390800,5.9388,5.9776,5.9264,5.9292
1546394400,5.9332,5.9862,5.9294,5.9749
1546398000,5.9754,5.9952,5.9445,5.9494
1546401600,5.9464,5.9559,5.9107,5.923
1546405200,5.925,5.925,5.8962,5.9103
1546408800,5.9119,5.9138,5.8528,5.8576
1546412400,5.8548,5.9132,5.8524,5.8941
1546416000,5.8935,5.935,5.8842,5.896
1546419600,5.8942,5.9018,5.8371,5.8653
1546423200,5.8666,5.9153,5.8564,5.9004
1546426800,5.9005,5.924,5.8763,5.897
1546430400,5.8955,5.9104,5.8757,5.9047
1546434000,5.9047,5.95,5.8971,5.93
1546437600,5.9301,5.9475,5.8902,5.9104
1546441200,5.9076,5.9181,5.891,5.9071
1546444800,5.906,6,5.897,5.9767
1546448400,5.9767,5.9848,5.9295,5.9395
1546452000,5.9391,5.9541,5.9113,5.9475
1546455600,5.9485,5.9742,5.9345,5.9647
1546459200,5.9646,6.0301,5.9357,6.0256
1546462800,6.023,6.0611,5.987,6.0459
1546466400,6.046,6.0754,6.0193,6.0597
1546470000,6.0608,6.0939,6.0346,6.051
1546473600,6.0445,6.062,5.9827,5.9963
1546477200,5.9987,6.0092,5.9663,5.97
1546480800,5.9699,6.0102,5.9664,5.9899
1546484400,5.9899,6.0062,5.983,5.9967
1546488000,5.9935,6,5.9755,5.9808
1546491600,5.9779,6,5.9612,5.9791
1546495200,5.9826,5.984,5.9618,5.9685
1546498800,5.9703,5.972,5.94,5.94
1546502400,5.94,5.9443,5.8861,5.8945
1546506000,5.8916,5.8927,5.85,5.8683
1546509600,5.8679,5.8815,5.8637,5.8711
1546513200,5.8736,5.8751,5.8,5.83
1546516800,5.8301,5.9108,5.8242,5.8982
1546520400,5.8983,5.93,5.8924,5.9094
1546524000,5.9057,5.916,5.87,5.8751
