time,open,high,low,close,EMA
1619740800,2757.04,2769.17,2727.43,2735.39,2697.1145157280484
1619744400,2735.59,2753.42,2725.93,2745.49,2699.0115935426347
1619748000,2745.48,2747.88,2726.31,2738.47,2700.558982031159
1619751600,2738.47,2747.14,2728.67,2743.41,2702.2394141083682
1619755200,2743.41,2765.95,2740.4,2765.95,2704.7378684570594
1619758800,2765.95,2775.09,2754.39,2772.18,2707.382657929332
1619762400,2772.16,2788.47,2761.75,2787.82,2710.5370635007307
1619766000,2787.49,2792,2771.51,2774.48,2713.044629637957
1619769600,2774.48,2792,2759.42,2780.75,2715.699742201174
1619773200,2780.74,2798.3,2773.35,2773.35,2717.9605366246574
1619776800,2773.35,2784,2755.25,2759.18,2719.5769861687886
1619780400,2759.38,2766.05,2730.11,2739.02,2720.3394572994243
1619784000,2739.05,2755.8,2733.09,2748.34,2721.437517797486
1619787600,2748.34,2752.68,2723.09,2733.83,2721.9234974917026
1619791200,2733.83,2767,2726.07,2737.51,2722.534732884185
1619794800,2737.32,2754.02,2734,2736.46,2723.0808217906874
1619798400,2736.47,2774.62,2731.67,2772.01,2724.9996130930135
1619802000,2772.01,2772.84,2750.42,2757.54,2726.275706697209
1619805600,2757.61,2777.62,2754.18,2775.99,2728.22528682673
1619809200,2776,2785,2772.16,2783.86,2730.4070402845055
1619812800,2783.87,2784.49,2751.03,2761.67,2731.633038704721
1619816400,2761.67,2765.17,2744,2753.48,2732.489782284928
1619820000,2753.78,2755.86,2738,2745.44,2732.997633960029
1619823600,2745.36,2774.99,2743.28,2772.42,2734.5436090988514
1619827200,2772.42,2778.82,2743.41,2768.75,2735.885036193014
1619830800,2768.75,2797,2751.72,2797,2738.2817014403468
1619834400,2797,2840,2791.43,2824.27,2741.653791579941
1619838000,2824.2,2848.24,2821.55,2839.01,2745.4716821062175
1619841600,2838.94,2845.02,2831.7,2843.6,2749.3198514353853
1619845200,2843.52,2870,2837.06,2850.31,2753.2802494183115
1619848800,2850.31,2867.76,2839.72,2854.63,2757.254749441123
1619852400,2854.68,2865,2843.94,2858.74,2761.2345631885296
1619856000,2858.77,2867.86,2829.26,2830.05,2763.9332077693716
1619859600,2830.06,2843.47,2805.24,2833.12,2766.6464153078277
1619863200,2833.12,2844.87,2823.38,2844.23,2769.688908825168
1619866800,2844.08,2860.94,2844.07,2857.6,2773.13640259673
1619870400,2857.75,2880.83,2855.27,2869.78,2776.9263475929365
1619874000,2869.77,2877.97,2854,2872.19,2780.662177099096
1619877600,2871.93,2877.98,2850.18,2854.23,2783.5471897618763
1619881200,2854.23,2867,2838.86,2866.37,2786.795143104548
1619884800,2866.37,2900,2866.07,2897.99,2791.155725727899
1619888400,2897.98,2938.77,2897.85,2933.17,2796.724912954256
1619892000,2933.17,2943.69,2916.01,2940.04,2802.345112446246
1619895600,2940.03,2940.23,2898.01,2925.49,2807.174323722864
1619899200,2925.49,2954.28,2923.56,2947.37,2812.6721933807908
1619902800,2947.26,2948.71,2911.67,2922.29,2816.9709308952697
1619906400,2922.29,2946,2908.33,2938.55,2821.7387375268277
1619910000,2938.3,2953.35,2932.14,2944.77,2826.5634929179323
1619913600,2944.83,2952.78,2925.6,2932.02,2830.6990422152685
1619917200,2932.01,2944.15,2922,2940.09,2834.9888836970226
1619920800,2940.1,2954.7,2938.03,2949.43,2839.476770610865
1619924400,2949.7,2952.82,2891.86,2901.51,2841.909446273184
1619928000,2901.84,2927.07,2871.5,2925.42,2845.1843699487454
1619931600,2925.05,2925.75,2901.8,2914.85,2847.9163554409515
1619935200,2914.64,2926,2905.42,2910.6,2850.374537580522
1619938800,2910.6,2915.55,2872.52,2892.9,2852.0422027734426
1619942400,2892.9,2897.68,2852.26,2878.54,2853.0813320764446
1619946000,2878.56,2901,2867.42,2899.42,2854.8985347401135
1619949600,2899.42,2926.21,2892.72,2925.24,2857.6570235738345
1619953200,2925.19,2936.74,2904.37,2936.25,2860.739101080743
1619956800,2936.03,2940.09,2919.77,2924.94,2863.2567833913017
1619960400,2924.93,2929.9,2901.78,2914.46,2865.2647526700744
1619964000,2914.46,2925.94,2910.62,2919,2867.372017271248
1619967600,2918.99,2937.47,2910,2929.15,2869.794683260611
1619971200,2929.14,2942.76,2920,2923.72,2871.9094015641163
1619974800,2923.72,2935.09,2920,2933.16,2874.311385816504
1619978400,2933.17,2969,2930.06,2966.55,2877.9285863727196
1619982000,2966.54,2976.87,2958.29,2963.56,2881.2866810247697
1619985600,2963.57,2971.85,2953.29,2969.18,2884.733477847328
1619989200,2969.19,2985,2964.32,2972.77,2888.185890480766
1619992800,2972.77,2981.68,2928.34,2946.57,2890.4754634030887
1619996400,2946.53,2954.26,2935.26,2949.56,2892.792504053948
1620000000,2949.33,2994.46,2949.32,2994.06,2896.763778404774
1620003600,2994.06,3028.5,2988,3020.64,2901.621669447724
1620007200,3020.64,3036,3008.52,3030.73,2906.6847412340876
1620010800,3030.75,3059.4,3020.46,3054.33,2912.4747513817706
1620014400,3054.34,3060,3036.53,3052,2917.946329758956
1620018000,3051.99,3109.87,3049.32,3102.29,2925.1754932978206
1620021600,3102.29,3104.99,3080.81,3088.7,2931.5882190508473
1620025200,3088.71,3147,3081.5,3146.95,2940.033779088069
1620028800,3146.95,3204.04,3132.11,3184.07,2949.6038269669684
1620032400,3184.06,3190,3141.12,3165.73,2958.0793631643423
1620036000,3165.73,3168.55,3125.39,3148.81,2965.558995981427
1620039600,3148.74,3178.86,3148.58,3151.95,2972.86844711941
1620043200,3151.95,3162.82,3111.89,3144.59,2979.602625663747
1620046800,3144.58,3150,3085.06,3107.02,2984.5993854416392
1620050400,3107.01,3178.93,3104,3161.56,2991.539017385104
1620054000,3161.56,3194.15,3147.49,3163.66,2998.2888598405902
1620057600,3163.65,3269,3150.89,3254.83,3008.3492967095867
1620061200,3254.82,3300,3246.58,3284.33,3019.1720693876423
1620064800,3284.33,3338,3273.33,3331.08,3031.403752941068
1620068400,3331.07,3331.07,3256.87,3301.27,3041.9867430218105
