time,open,high,low,close,Volume,Volume MA
1546740000,149.57,149.94,147.51,149.55,55739.39581,28052.098077499988
1546743600,149.52,150.84,148.95,150.52,22143.50799,27706.38122249999
1546747200,150.57,150.62,149.6,150.5,13162.12732,27482.097125499986
1546750800,150.5,151.52,150.45,150.69,16998.74029,27548.253653499985
1546754400,150.69,151,150.28,150.47,9590.38473,26740.82051449999
1546758000,150.46,150.66,149.24,149.96,20109.29047,26344.986583999987
1546761600,149.96,150.2,149.02,150.09,14492.65533,25847.698228499987
1546765200,150.09,152,150.02,150.43,18925.41946,25297.710923999988
1546768800,150.46,153,150.1,151.73,27502.26497,25570.168368499988
1546772400,151.72,153.24,151.65,152.5,29715.81887,25058.22561799999
1546776000,152.53,152.74,150.1,150.66,20245.65844,23547.019368999987
1546779600,150.68,152,150.29,150.93,13995.30243,23268.232644999985
1546783200,150.97,151.55,150.27,151.1,11434.15846,23093.554212999985
1546786800,151.14,152.69,150.3,150.9,27159.56832,23464.899931999986
1546790400,150.91,151.95,150.26,151.46,16625.6023,23778.826805999986
1546794000,151.41,157.4,151.35,155.48,100887.02719,28296.726181499987
1546797600,155.49,156.43,154.04,154.7,39193.16937,27420.870714499986
1546801200,154.71,155.53,154.51,154.8,21516.05791,27275.19264699999
1546804800,154.8,155.35,152.56,153.01,29399.87632,27636.800615999986
1546808400,153.01,153.96,152.63,153.38,22224.83784,26553.043190999986
1546812000,153.38,154.65,152.58,152.8,13427.61646,24437.454223499986
1546815600,152.77,154.55,152.71,153.86,17352.2901,24197.893328999984
1546819200,153.89,155.48,153.8,154.32,20451.62942,24562.368433999985
1546822800,154.34,154.45,152,152.99,30045.5332,25214.708079499986
1546826400,153,153.4,151.7,152.83,14571.7656,25463.777122999985
1546830000,152.84,153.52,152.72,153.1,9536.57616,24935.141407499985
1546833600,153.1,153.87,152.91,152.91,10426.7484,24731.846060999986
1546837200,152.92,153.43,152.55,153.33,9344.46528,24252.798351999987
1546840800,153.33,153.78,152.8,153.28,11387.452,23447.057703499984
1546844400,153.27,153.77,153.15,153.53,7512.9826,22336.915889999982
1546848000,153.55,154,152.82,153.27,21510.14444,22400.140189999984
1546851600,153.27,153.27,148.33,149.62,58104.26727,24605.588431999986
1546855200,149.6,151.34,149.5,150.2,20756.19569,25071.69029349999
1546858800,150.21,151.65,149.95,151.36,17744.00547,24600.912150999986
1546862400,151.37,151.39,149.8,149.91,10881.92604,24313.728337999983
1546866000,149.91,151.55,149.82,151.12,14615.15667,20000.134811999982
1546869600,151.12,152.4,150.89,151.45,17746.75381,18927.814033999985
1546873200,151.55,151.63,150.25,150.6,13990.46729,18551.534502999984
1546876800,150.59,151.45,150.2,150.67,11059.64821,17634.523097499987
1546880400,150.72,151.45,149.15,150.83,23998.55546,17723.208978499988
1546884000,150.84,152.1,150.7,151.24,16946.65117,17899.16071399999
