time,open,high,low,close
1577854800,130.2,130.47,130.11,130.3
1577858400,130.31,130.75,130.26,130.44
1577862000,130.47,130.71,130.14,130.24
1577865600,130.24,130.41,129.87,130.36
1577869200,130.4,130.62,130.13,130.17
1577872800,130.17,130.82,130.07,130.7
1577876400,130.67,131.87,130.6,130.74
1577880000,130.74,131.61,130.7,131.61
1577883600,131.6,131.9,131.28,131.68
1577887200,131.66,132.37,131.24,131.96
1577890800,131.95,132.4,131.6,132.08
1577894400,132.08,132.95,131.78,132.85
1577898000,132.86,133.05,132.27,132.34
1577901600,132.34,132.46,131.57,132.04
1577905200,132.04,132.16,131.62,131.86
1577908800,131.86,132.25,131.7,132.18
1577912400,132.17,132.37,131.68,131.78
1577916000,131.82,131.82,129.9,130.27
1577919600,130.28,130.87,129.74,130.77
1577923200,130.72,130.78,130.27,130.67
1577926800,130.66,130.67,130.12,130.15
1577930400,130.14,130.16,128.89,129.72
1577934000,129.71,129.71,128.77,129.1
1577937600,129.09,129.87,128.69,129.55
1577941200,129.57,129.75,129.3,129.63
1577944800,129.6,129.99,129.15,129.42
1577948400,129.43,129.67,128.96,129.26
1577952000,129.23,130.27,129.21,130.21
1577955600,130.21,130.21,129.57,129.98
1577959200,129.97,130.28,129.66,129.72
1577962800,129.73,129.94,129.44,129.53
1577966400,129.52,129.99,129.52,129.96
1577970000,129.97,130.01,128.9,129.35
1577973600,129.34,129.86,129.21,129.37
1577977200,129.37,129.8,129.36,129.59
1577980800,129.58,129.78,126.94,127.6
1577984400,127.6,127.68,126.38,127.4
1577988000,127.42,127.75,127.13,127.49
1577991600,127.49,127.67,127.08,127.62
1577995200,127.63,127.64,126.79,127.16
1577998800,127.16,127.87,127.15,127.72
1578002400,127.72,127.76,127.24,127.39
1578006000,127.39,127.48,126.91,127.19
1578009600,127.19,127.6,126.82,127.07
1578013200,127.07,127.17,125.88,126.04
1578016800,126.04,127.08,125.9,126.92
1578020400,126.94,127.11,126.65,126.89
1578024000,126.89,130.15,126.83,129.3
1578027600,129.23,129.97,128.76,129.21
1578031200,129.24,129.35,128.76,129.17
1578034800,129.18,129.53,128.72,128.86
1578038400,128.86,133.26,128.8,132.15
1578042000,132.2,132.87,131.71,132.35
1578045600,132.36,132.72,131.58,132.04
1578049200,132.03,132.63,131.92,132.46
1578052800,132.49,132.83,131.85,132.23
1578056400,132.23,133.95,132.23,133.54
1578060000,133.51,133.85,130.93,131.68
1578063600,131.68,132.57,131.59,132.53
1578067200,132.52,133.75,131.94,133.51
1578070800,133.44,134.9,132.66,133.97
1578074400,134,134.22,133.24,133.5
1578078000,133.5,133.59,132.21,133.49
1578081600,133.48,134.05,133.01,133.45
1578085200,133.48,133.93,132.29,132.5
1578088800,132.45,133.37,132.16,133.04
1578092400,133.04,135.14,132.9,134.35
1578096000,134.37,134.81,133.44,133.7
1578099600,133.71,133.71,132.79,133.01
1578103200,133.01,133.48,132.8,133.47
1578106800,133.47,133.54,133.18,133.34
1578110400,133.34,133.91,133,133.67
1578114000,133.68,134.11,133.4,133.66
1578117600,133.67,134.25,133.62,133.95
1578121200,133.92,134.31,133.41,133.91
1578124800,133.9,134.14,133.52,133.6
1578128400,133.61,134.15,133.41,134.13
1578132000,134.11,134.18,133.24,133.4
1578135600,133.4,133.82,133.07,133.77
1578139200,133.76,133.79,132.5,132.79
1578142800,132.81,133.25,132.59,132.9
1578146400,132.9,133.33,132.83,133.06
1578150000,133.06,133.66,132.94,133.26
1578153600,133.26,133.48,132.96,133.09
1578157200,133.12,134.86,133.04,134.6
1578160800,134.6,135.85,132.8,133.51
1578164400,133.5,134.27,133.07,133.72
1578168000,133.71,134.2,133.44,134.08
1578171600,134.09,134.54,133.68,134.12
1578175200,134.11,134.37,133.8,134.1
1578178800,134.14,134.4,133.77,134.2
1578182400,134.2,135.24,134.19,134.76
1578186000,134.76,135.83,134.71,135.65
1578189600,135.64,136,135.15,135.46
1578193200,135.47,136.2,135.45,136.16
1578196800,136.17,137.24,135.62,135.91
1578200400,135.91,136.45,135.64,136.19
1578204000,136.17,136.59,135.86,136.11
1578207600,136.1,136.31,135.82,136.02
1578211200,136.04,136.24,135,135.38
1578214800,135.42,135.62,134.94,135.32
1578218400,135.32,135.49,134.7,134.88
1578222000,134.88,135.37,134.77,135.07
1578225600,135.06,135.97,135.06,135.91
