time,open,high,low,close
1547632800,0.5355,0.5355,0.5003,0.5066
1547636400,0.5146,0.5162,0.498,0.498
1547640000,0.498,0.5021,0.4836,0.4887
1547643600,0.4887,0.4973,0.4869,0.4869
1547647200,0.4869,0.492,0.4668,0.4746
1547650800,0.476,0.4845,0.476,0.479
1547654400,0.4782,0.4821,0.4677,0.48
1547658000,0.482,0.52,0.4791,0.5043
1547661600,0.5043,0.519,0.5007,0.5016
1547665200,0.5,0.51,0.4944,0.5041
1547668800,0.5031,0.52,0.5012,0.5127
1547672400,0.5127,0.5129,0.5024,0.5117
1547676000,0.5117,0.5117,0.4854,0.4858
1547679600,0.4862,0.4954,0.4851,0.4895
1547683200,0.4895,0.4895,0.4711,0.4711
1547686800,0.4711,0.4821,0.4701,0.48
1547690400,0.48,0.485,0.4776,0.4804
1547694000,0.4804,0.4844,0.4639,0.4677
1547697600,0.4677,0.4745,0.4653,0.4682
1547701200,0.4682,0.4802,0.4654,0.4711
1547704800,0.4711,0.4807,0.4711,0.4791
1547708400,0.4791,0.4877,0.472,0.4724
1547712000,0.4738,0.4803,0.4711,0.4795
1547715600,0.4787,0.48,0.4736,0.4736
1547719200,0.4759,0.4862,0.4703,0.476
1547722800,0.476,0.476,0.4705,0.4726
1547726400,0.4726,0.4753,0.4703,0.4753
1547730000,0.4753,0.4819,0.4718,0.4807
1547733600,0.4806,0.4938,0.4765,0.4904
1547737200,0.4924,0.4953,0.485,0.4874
1547740800,0.4874,0.4915,0.4789,0.4836
1547744400,0.4836,0.4836,0.473,0.4745
1547748000,0.4745,0.4777,0.4706,0.473
1547751600,0.473,0.4748,0.471,0.4735
1547755200,0.4735,0.4794,0.4708,0.4775
1547758800,0.4775,0.4837,0.4749,0.4751
1547762400,0.4751,0.4776,0.4741,0.476
1547766000,0.4769,0.4773,0.4724,0.4756
1547769600,0.4762,0.4762,0.4718,0.4733
1547773200,0.4733,0.475,0.4723,0.4734
1547776800,0.4734,0.4757,0.4727,0.4745
1547780400,0.4745,0.4756,0.4678,0.4707
1547784000,0.4686,0.4707,0.4605,0.4687
1547787600,0.4688,0.4692,0.4601,0.4692
1547791200,0.4692,0.4729,0.4653,0.4703
1547794800,0.4703,0.472,0.4674,0.4719
1547798400,0.4719,0.4764,0.4668,0.4726
1547802000,0.4726,0.4744,0.4653,0.4653
1547805600,0.4653,0.48,0.4634,0.4728
1547809200,0.4728,0.4765,0.4686,0.4688
1547812800,0.4688,0.4725,0.4647,0.4653
1547816400,0.4653,0.475,0.4653,0.4678
1547820000,0.4678,0.4713,0.4658,0.468
1547823600,0.468,0.4739,0.4635,0.471
1547827200,0.4718,0.4735,0.4676,0.4679
1547830800,0.4679,0.4734,0.4658,0.4658
1547834400,0.4656,0.4749,0.4653,0.4749
1547838000,0.4728,0.473,0.4693,0.472
1547841600,0.472,0.49,0.472,0.4847
1547845200,0.4846,0.4959,0.4828,0.4953
1547848800,0.494,0.5112,0.4882,0.4961
1547852400,0.4982,0.503,0.4868,0.4894
1547856000,0.4908,0.4981,0.4871,0.49
1547859600,0.49,0.4918,0.4814,0.4834
1547863200,0.4853,0.4872,0.4786,0.4848
1547866800,0.4848,0.4848,0.4797,0.4797
1547870400,0.4804,0.4825,0.4799,0.4816
1547874000,0.4816,0.4937,0.4805,0.4872
1547877600,0.4877,0.4906,0.476,0.4777
