time,open,high,low,close
1546300800,0.34864,0.35034,0.34703,0.34917
1546304400,0.34928,0.34948,0.34717,0.34808
1546308000,0.34808,0.3483,0.34533,0.3464
1546311600,0.3464,0.34931,0.34617,0.34874
1546315200,0.34873,0.35368,0.34858,0.35053
1546318800,0.35053,0.35241,0.35052,0.35134
1546322400,0.35134,0.35199,0.34971,0.35073
1546326000,0.35067,0.35292,0.35056,0.35261
1546329600,0.35241,0.3565,0.35211,0.35377
1546333200,0.35353,0.35377,0.35096,0.35122
1546336800,0.35133,0.35292,0.351,0.35181
1546340400,0.3518,0.35292,0.35152,0.35189
1546344000,0.35212,0.35289,0.3501,0.35229
1546347600,0.35235,0.3545,0.35134,0.35249
1546351200,0.35248,0.35249,0.35,0.35025
1546354800,0.35025,0.35028,0.3475,0.34906
1546358400,0.34893,0.35115,0.34873,0.35109
1546362000,0.35109,0.35185,0.34978,0.35054
1546365600,0.35027,0.35059,0.34661,0.34807
1546369200,0.34817,0.35239,0.34792,0.35153
1546372800,0.35137,0.3573,0.35053,0.35609
1546376400,0.35608,0.35837,0.3526,0.354
1546380000,0.354,0.3563,0.3533,0.35507
1546383600,0.3552,0.36111,0.35425,0.3608
1546387200,0.36057,0.36243,0.35722,0.35776
1546390800,0.35777,0.35905,0.3567,0.35691
1546394400,0.35712,0.35768,0.3565,0.35768
1546398000,0.35781,0.35893,0.3571,0.3573
1546401600,0.35733,0.35838,0.35666,0.35711
1546405200,0.35711,0.35745,0.35651,0.35715
1546408800,0.35707,0.35717,0.3545,0.35497
1546412400,0.35496,0.35709,0.3535,0.35685
1546416000,0.35686,0.36198,0.3566,0.35903
1546419600,0.3589,0.35917,0.35712,0.35831
1546423200,0.35831,0.36169,0.35687,0.3609
1546426800,0.3609,0.3645,0.35971,0.36216
1546430400,0.36218,0.36277,0.35995,0.362
1546434000,0.36186,0.36639,0.36149,0.36509
1546437600,0.3651,0.3658,0.36132,0.36278
1546441200,0.36296,0.36355,0.36018,0.3614
1546444800,0.36139,0.373,0.3613,0.36893
1546448400,0.36863,0.37062,0.3644,0.36748
1546452000,0.36749,0.3716,0.36533,0.37047
1546455600,0.37039,0.37099,0.36755,0.36943
1546459200,0.36933,0.3705,0.36615,0.37016
1546462800,0.3701,0.37137,0.3673,0.36954
1546466400,0.36942,0.37353,0.36882,0.37292
1546470000,0.37278,0.3745,0.3684,0.36882
1546473600,0.3686,0.3691,0.36302,0.3636
1546477200,0.36337,0.36471,0.36185,0.3639
1546480800,0.36384,0.36631,0.36259,0.36371
1546484400,0.36373,0.36553,0.36309,0.36461
1546488000,0.36453,0.36587,0.36388,0.36388
1546491600,0.36389,0.3648,0.3615,0.36242
1546495200,0.36268,0.36381,0.36225,0.36292
1546498800,0.363,0.3645,0.36223,0.36413
1546502400,0.36407,0.36439,0.35675,0.35765
1546506000,0.35786,0.35898,0.35551,0.35839
1546509600,0.35821,0.35897,0.35746,0.35786
1546513200,0.35769,0.35867,0.35465,0.35772
1546516800,0.35772,0.3595,0.35673,0.35891
1546520400,0.35891,0.35968,0.35742,0.35875
1546524000,0.35875,0.35875,0.3563,0.35708
1546527600,0.357,0.35825,0.35566,0.35709
1546531200,0.35699,0.35741,0.34942,0.35019
1546534800,0.35012,0.35277,0.34943,0.35179
1546538400,0.35179,0.35214,0.35035,0.35109
1546542000,0.35089,0.3514,0.34778,0.35043
1546545600,0.35061,0.35457,0.34904,0.35369
1546549200,0.35362,0.35395,0.35181,0.3528
1546552800,0.35279,0.35425,0.35128,0.35398
1546556400,0.35398,0.354,0.352,0.3524
1546560000,0.35255,0.3526,0.34929,0.35067
1546563600,0.35067,0.3543,0.3501,0.35389
1546567200,0.35389,0.35389,0.35147,0.35243
1546570800,0.35245,0.35623,0.35119,0.3553
1546574400,0.35531,0.35666,0.35344,0.35487
1546578000,0.35463,0.35603,0.35335,0.35523
1546581600,0.35548,0.35776,0.35507,0.35656
1546585200,0.35638,0.358,0.3552,0.35546
1546588800,0.35545,0.35636,0.35253,0.35298
1546592400,0.35289,0.35363,0.35,0.35081
1546596000,0.35102,0.3527,0.35009,0.35261
1546599600,0.3527,0.3529,0.34999,0.35052
1546603200,0.3504,0.35158,0.3489,0.35028
1546606800,0.35003,0.35066,0.34936,0.3497
1546610400,0.34985,0.35016,0.34385,0.34536
1546614000,0.34545,0.34726,0.34385,0.34696
1546617600,0.34696,0.3494,0.3455,0.34922
1546621200,0.34913,0.34998,0.3479,0.34887
1546624800,0.34886,0.34908,0.34701,0.34811
1546628400,0.34832,0.35,0.34795,0.34931
1546632000,0.34935,0.35459,0.34859,0.35298
1546635600,0.3529,0.35684,0.3528,0.35446
1546639200,0.35446,0.35536,0.3512,0.35257
1546642800,0.35258,0.35399,0.35255,0.35308
1546646400,0.35303,0.35981,0.3527,0.3561
1546650000,0.3561,0.35871,0.35427,0.35578
1546653600,0.35578,0.35728,0.35507,0.35615
1546657200,0.35618,0.35694,0.35444,0.35621
1546660800,0.35622,0.35692,0.35471,0.35476
1546664400,0.35479,0.3572,0.3546,0.35661
1546668000,0.35662,0.35695,0.35047,0.35264
1546671600,0.35271,0.35275,0.3483,0.34852
1546675200,0.34844,0.35169,0.34837,0.35021
1546678800,0.35032,0.3514,0.34928,0.35117
1546682400,0.3513,0.3517,0.34929,0.35114
1546686000,0.35119,0.35382,0.35064,0.35291
1546689600,0.35278,0.35384,0.35156,0.35221
1546693200,0.35221,0.35383,0.35039,0.35334
1546696800,0.35334,0.35335,0.35144,0.35298
1546700400,0.35293,0.357,0.35282,0.35332
1546704000,0.35319,0.35573,0.351,0.3541
1546707600,0.35403,0.35599,0.35403,0.35447
1546711200,0.35439,0.3547,0.353,0.35408
1546714800,0.35409,0.3553,0.35221,0.35491
1546718400,0.35491,0.355,0.35277,0.35376
1546722000,0.35376,0.3546,0.35303,0.35373
1546725600,0.35358,0.35389,0.345,0.35089
1546729200,0.35089,0.35113,0.348,0.34851
1546732800,0.34851,0.35239,0.3475,0.35211
1546736400,0.35223,0.35257,0.34858,0.34917
1546740000,0.34921,0.35061,0.347,0.3506
1546743600,0.35059,0.35104,0.34957,0.35059
1546747200,0.3506,0.3506,0.34886,0.34966
1546750800,0.34966,0.351,0.34944,0.34972
1546754400,0.3499,0.35076,0.34964,0.35019
1546758000,0.35034,0.3505,0.34542,0.34819
1546761600,0.34814,0.34877,0.3465,0.34812
1546765200,0.34819,0.3506,0.34807,0.3494
1546768800,0.34949,0.35362,0.34923,0.35213
1546772400,0.35227,0.3558,0.35201,0.35296
1546776000,0.35296,0.35349,0.35009,0.35041
1546779600,0.3503,0.35342,0.35,0.35241
1546783200,0.35233,0.35278,0.351,0.35226
1546786800,0.35255,0.35451,0.35158,0.352
