time,open,high,low,close
1546300800,3691.87,3701.73,3680.63,3691.89
1546304400,3691.89,3693.67,3666.4,3676.66
1546308000,3676.66,3679,3666.3,3674
1546311600,3674,3684,3673.99,3682
1546315200,3681.03,3700,3678.25,3681.8
1546318800,3681.81,3690,3681.8,3690
1546322400,3690,3694.98,3689,3691.35
1546326000,3691.35,3715,3691.35,3701.91
1546329600,3701.9,3725,3700.94,3713.45
1546333200,3712.71,3713.44,3690,3695.08
1546336800,3693.25,3707.97,3689.39,3707.36
1546340400,3707.36,3716.02,3702,3702.55
1546344000,3702.55,3716.05,3699,3715.67
1546347600,3715.67,3745,3709.85,3718.33
1546351200,3718.32,3718.33,3690,3695.89
1546354800,3695.88,3697.21,3671.36,3679.07
1546358400,3679.07,3695,3677.04,3694.52
1546362000,3694.52,3702.4,3680,3690.06
1546365600,3690.05,3690.06,3651.02,3664.31
1546369200,3664.31,3699,3664.3,3699
1546372800,3699,3736,3699,3724.04
1546376400,3724.04,3737.09,3715,3722.51
1546380000,3722.61,3724,3712.57,3719.99
1546383600,3719.98,3841.17,3716.08,3826.1
1546387200,3826.1,3838.3,3790.6,3801.9
1546390800,3801.9,3806,3790.85,3793
1546394400,3793,3806,3791.95,3801
1546398000,3801,3809.99,3799.75,3801.37
1546401600,3801.36,3804.96,3790.29,3800.01
1546405200,3800.01,3801.2,3796,3800.01
1546408800,3800,3800,3770.07,3778.02
1546412400,3778.03,3797.46,3778.02,3794.99
1546416000,3794.99,3809.99,3789.9,3802.06
1546419600,3802.06,3802.06,3789,3793.77
1546423200,3793.77,3810,3789.96,3804
1546426800,3804,3830.02,3801.01,3808.51
1546430400,3808.51,3815.5,3798.46,3814.71
1546434000,3814.71,3853,3812.82,3841.89
1546437600,3841.9,3847.92,3817.05,3829.79
1546441200,3829.79,3829.99,3810,3816.94
1546444800,3816.04,3886.64,3811.44,3850.38
1546448400,3850.38,3864.95,3836.4,3850.2
1546452000,3850.19,3852.52,3837,3850
1546455600,3849.98,3850,3820,3846
1546459200,3846,3878.77,3839.47,3876.63
1546462800,3876.62,3899,3858.43,3884.63
1546466400,3884.61,3910,3877,3894.21
1546470000,3894.21,3916.57,3887,3890.79
1546473600,3890.8,3893.8,3862.87,3864.53
1546477200,3864.54,3875,3851,3866.29
1546480800,3866.3,3874.78,3860,3865.48
1546484400,3865.48,3876.37,3861.46,3871.51
1546488000,3871.51,3881.57,3865.05,3865.06
1546491600,3865.06,3867.41,3832,3850.06
1546495200,3848.8,3852.26,3841,3846.83
1546498800,3846.83,3858.51,3845.27,3846.71
1546502400,3846.71,3850,3826,3831.18
1546506000,3831.18,3836.5,3815.2,3833.56
1546509600,3833.55,3843,3830.78,3836.37
1546513200,3836.38,3838,3823.72,3834.39
1546516800,3834.6,3850.99,3827.08,3849.91
1546520400,3849.91,3851,3840,3847.6
1546524000,3846.53,3846.53,3832,3836.87
1546527600,3836.87,3845,3826,3839.38
1546531200,3839.38,3840.54,3758.07,3771.23
1546534800,3771.24,3788.12,3763.08,3779.61
1546538400,3779.61,3783.2,3767,3780
1546542000,3779.99,3787.27,3771.01,3779.99
1546545600,3780,3801.56,3780,3798.99
1546549200,3798.99,3801.27,3790.17,3794.55
1546552800,3794.55,3797.84,3780.01,3796.46
1546556400,3796.46,3796.46,3780.71,3787.57
1546560000,3787.57,3788.81,3752.98,3765.01
1546563600,3765,3790,3765,3782.87
1546567200,3782.87,3782.87,3773.61,3779.13
1546570800,3779.13,3805,3774.48,3800.08
1546574400,3800.08,3819.55,3782.58,3794.84
1546578000,3794.01,3799.99,3786.68,3795.89
1546581600,3795.89,3813.16,3795.67,3801.01
1546585200,3801.01,3819.73,3801,3806.88
1546588800,3806.89,3816.5,3790,3790.69
1546592400,3790.68,3795.66,3776,3780.74
1546596000,3780.75,3796.79,3778.77,3796.79
1546599600,3797,3802.08,3778.26,3778.77
1546603200,3778.78,3792.78,3755.94,3783.34
1546606800,3783.34,3785,3773.65,3777.39
1546610400,3777.39,3783,3730,3748
1546614000,3748.01,3752.9,3740,3750.81
1546617600,3750.49,3774.26,3745,3770
1546621200,3770,3772.57,3763,3770.82
1546624800,3770.81,3770.82,3755,3755.07
1546628400,3755.37,3765.8,3755.01,3761
1546632000,3761.01,3810,3756.4,3785.96
1546635600,3784.45,3849,3784.36,3834.2
1546639200,3834.18,3844,3816.87,3826.57
1546642800,3826.56,3832.47,3820,3820.25
1546646400,3820.82,3874.12,3820.81,3847.99
1546650000,3848,3869.36,3830.12,3840.66
1546653600,3842.25,3850,3837,3842.98
1546657200,3842.98,3848.01,3835.55,3844.41
1546660800,3844.41,3850,3842,3845.01
1546664400,3845,3861.36,3845,3859.75
1546668000,3859.75,3859.75,3827.41,3832
1546671600,3832,3835,3820.66,3822.84
1546675200,3822.84,3836.03,3822.84,3830.83
1546678800,3830.83,3834.25,3825.16,3830.43
1546682400,3830.43,3830.92,3813.79,3827.14
1546686000,3827.15,3848.71,3826.13,3835.47
1546689600,3835.47,3845,3835.47,3839.97
1546693200,3839.7,3839.95,3825,3828.48
1546696800,3828.49,3831.54,3823.09,3828.6
1546700400,3828.6,3850.49,3826.17,3828
1546704000,3829.01,3840,3819.77,3835.43
1546707600,3835.43,3842.84,3831,3835.01
1546711200,3835.01,3849.83,3830.88,3843.17
1546714800,3843.78,3853.83,3838.19,3845.16
1546718400,3845.16,3845.16,3824.23,3835.01
1546722000,3835.01,3839.8,3831.31,3838
1546725600,3838,3838,3775,3809
1546729200,3809,3809,3790.37,3798.62
1546732800,3799.99,3805,3790,3804.99
1546736400,3804.94,3806,3790,3790.11
1546740000,3790.11,3794,3756.01,3792.5
1546743600,3792.5,3801,3792.5,3797.06
1546747200,3797.04,3800.38,3785.56,3796.26
1546750800,3796.69,3806.55,3795.01,3800.01
1546754400,3800.01,3801.96,3795.31,3797.9
1546758000,3798.1,3799.34,3786,3788.9
1546761600,3788.9,3795.4,3787,3793.78
1546765200,3793.78,3800.02,3793.77,3800.01
1546768800,3800.01,3832.16,3795.94,3821.16
1546772400,3821.17,3835,3814.49,3830
1546776000,3830,3835.11,3805.14,3810.59
1546779600,3810.59,3824.69,3810,3816.37
1546783200,3816.36,3818.95,3811.99,3818.87
1546786800,3818.87,3836,3818.86,3827
1546790400,3827.01,3835,3825.58,3833.76
1546794000,3833.76,4088,3833.75,4062.52
1546797600,4062.52,4079.04,4033.46,4046.6
1546801200,4046.59,4060.07,4046.59,4053
1546804800,4053,4060,4030.06,4036.99
1546808400,4036.99,4041.52,4023,4030.4
1546812000,4030.4,4043,4022.5,4027.06
1546815600,4026.84,4063,4026.83,4040.99
1546819200,4040.98,4070,4040.98,4052.93
1546822800,4052.98,4053,4020.9,4034.28
1546826400,4034.24,4036.26,4020,4029.99
1546830000,4030,4039.97,4028.21,4038.39
1546833600,4037.9,4040,4030,4030.94
1546837200,4030.63,4040,4026,4040
1546840800,4040,4043.93,4030,4034.16
1546844400,4034.16,4036.9,4031.9,4036
1546848000,4036,4053.03,4035,4047.77
1546851600,4046.44,4049.53,3968.79,3997.53
1546855200,3996.25,4052.92,3995.21,4009
1546858800,4008.99,4020,4008,4018.92
1546862400,4018.92,4022.52,3998.11,3998.11
1546866000,3998.71,4023.58,3998.71,4021.38
1546869600,4021.38,4036,4017.99,4027
1546873200,4027.01,4034.84,4004,4010.54
1546876800,4010.71,4025,4008,4020.01
1546880400,4020.01,4026,3976.05,4013.93
1546884000,4016,4029.52,4011.77,4015.56
1546887600,4015.55,4024,4015,4024
1546891200,4024,4025,4000,4006.72
1546894800,4006.73,4018.3,4000.24,4006.57
1546898400,4006.56,4006.57,3990.01,3996.7
1546902000,3996.71,4006.1,3982.41,4006.01
1546905600,4005.97,4020,4005.97,4013.87
1546909200,4013.87,4013.89,3998.48,3998.95
1546912800,3998.94,4003.08,3943.36,3984.23
1546916400,3984.24,3990,3979.64,3982.13
1546920000,3982.13,3984.98,3974.32,3980.72
1546923600,3980.72,3980.99,3975,3976.99
1546927200,3976.99,3986.9,3965.99,3986.9
1546930800,3986.9,3993.58,3979.53,3981.35
1546934400,3981.34,4007.99,3979.28,3996.35
1546938000,3996.35,4009.17,3990.41,4004.27
1546941600,4004.27,4009,3994.08,4008.26
1546945200,4008.26,4049.99,3993.44,4036.5
1546948800,4036.5,4036.5,4023.08,4025.88
1546952400,4025.89,4069,4025.89,4064.48
1546956000,4064.48,4065,4050,4053.37
1546959600,4053.36,4114.8,4001.59,4034.99
1546963200,4034.99,4041,3986.01,4007.6
1546966800,4007.6,4019,4003.08,4003.08
1546970400,4003.09,4012.99,3991.03,4003.26
1546974000,4003.26,4022,3994.6,4013.46
1546977600,4013.47,4020.02,4006.16,4006.17
1546981200,4006.17,4012.98,3998.17,3999.85
1546984800,3999.85,4001.35,3991.03,4001.05
1546988400,4001.05,4003.75,3990,3993.86
1546992000,3993.85,4000.63,3962.12,3988.38
1546995600,3988.38,4024.99,3980,4016.52
1546999200,4016.51,4028,4014.84,4016.57
1547002800,4016.58,4026.89,4014.94,4019.43
1547006400,4019.43,4035,4019.42,4029.01
1547010000,4029.01,4032.02,4015,4019.67
1547013600,4019.67,4019.67,4011,4017.91
1547017200,4017.7,4027.5,4016.49,4016.5
1547020800,4016.5,4021.97,4004.01,4017
1547024400,4017.01,4028.99,4010.43,4015.33
1547028000,4014.14,4022.9,4010.05,4019.17
1547031600,4018.06,4042.2,4016.04,4029
1547035200,4029.01,4029.01,3981.55,4011.89
1547038800,4011.88,4012,3993.09,4009.28
1547042400,4009.29,4010.96,3978,3993
1547046000,3993,4005,3984.92,3990.01
1547049600,3990.01,4009,3990,3999.99
1547053200,4000,4005,3993.5,4002.92
1547056800,4002.93,4008.92,4000,4007.01
1547060400,4007.01,4013,4003.08,4013
1547064000,4013,4014.48,4000,4008.52
1547067600,4009.48,4025.9,3995,4004
1547071200,4004,4014.2,4001.49,4006.59
1547074800,4006.79,4014.93,4000,4004.12
1547078400,4004.13,4025,4002.66,4025
1547082000,4025,4029.63,4015.88,4023.06
1547085600,4023.06,4023.87,4012.75,4018.43
1547089200,4018.44,4023.51,4013,4013.57
1547092800,4013.58,4028.99,4013.56,4028.99
1547096400,4028.99,4035.21,4025.04,4025.69
1547100000,4025.69,4029,3757,3812
1547103600,3812.36,3812.36,3783.37,3802.05
1547107200,3802.13,3807.27,3781.42,3788.2
1547110800,3788.23,3793.5,3762.04,3779.76
1547114400,3779.15,3793.25,3773.43,3780.66
1547118000,3780.66,3789.2,3771.11,3788.26
1547121600,3788.26,3796.98,3774.4,3780.51
1547125200,3780.81,3781.4,3767.01,3779.03
1547128800,3779.03,3783,3771.69,3781.31
1547132400,3781.31,3790,3778.04,3779.88
1547136000,3779.88,3779.88,3560,3620
1547139600,3620,3620.99,3603.65,3614.46
1547143200,3613.8,3614.46,3591.05,3610.69
1547146800,3610.7,3642.95,3584.12,3637.81
1547150400,3637.81,3649.98,3625,3628.47
1547154000,3628.47,3636.7,3620.81,3631.12
1547157600,3631.11,3633.96,3612.44,3627.99
1547161200,3627.72,3633,3620.2,3626.12
1547164800,3626.12,3655.55,3605.1,3646.28
1547168400,3646.28,3653.09,3632,3635.14
1547172000,3635.55,3639.48,3620.12,3620.13
1547175600,3620.13,3625,3619.6,3623.17
1547179200,3622,3622.23,3586.61,3608.99
1547182800,3608.99,3622.77,3605.66,3617.39
1547186400,3617.39,3633,3614.5,3627.71
1547190000,3627.71,3642.75,3620.38,3642.75
1547193600,3642.75,3674,3636.73,3644.98
1547197200,3644.98,3653,3634.5,3636.65
1547200800,3636.65,3640.32,3610.71,3629.53
1547204400,3629.53,3639.01,3626.93,3639
1547208000,3639.01,3639.03,3615.68,3634.82
1547211600,3633.39,3639.7,3617.42,3617.49
1547215200,3618.52,3659.5,3617.93,3644.01
1547218800,3644.01,3654.64,3636.08,3638.55
1547222400,3635.14,3668.53,3635.14,3648.3
1547226000,3648.3,3658.89,3646.46,3653.01
1547229600,3653.01,3660,3646,3654.96
1547233200,3654.95,3658.5,3650.94,3651.31
1547236800,3651.31,3669,3647.2,3656.24
1547240400,3656.23,3699.99,3645.3,3649.79
1547244000,3649.79,3651.43,3615.01,3620.14
1547247600,3620.14,3652,3576,3635.69
1547251200,3634.73,3649.18,3625.88,3634.45
1547254800,3634.45,3637.66,3621,3631.96
1547258400,3631.96,3635,3624.68,3634.51
1547262000,3634.51,3642.76,3631.74,3642
1547265600,3642.19,3642.19,3630.99,3631
1547269200,3631,3637.33,3631,3635.95
1547272800,3635.94,3638.26,3615,3617.73
1547276400,3618.03,3624.2,3617.26,3624.18
1547280000,3624.17,3624.91,3616.62,3619.64
1547283600,3619.64,3621.55,3604.62,3619.45
1547287200,3619.45,3622.42,3618.14,3618.14
1547290800,3618.14,3620.37,3610.4,3615.53
1547294400,3615.53,3645.24,3557.29,3623.61
1547298000,3623.61,3627.52,3613.03,3623.57
1547301600,3623.82,3629.64,3623.23,3629.61
1547305200,3629.61,3630.19,3620.28,3630.19
1547308800,3630.18,3632.87,3621.41,3624
1547312400,3624,3634,3611.71,3626.96
1547316000,3626.96,3632.99,3626.96,3629.49
1547319600,3629.49,3632.3,3625.5,3629.63
1547323200,3629.77,3635.8,3624.72,3634.61
1547326800,3633.74,3645.08,3625.6,3627.19
1547330400,3627.19,3645.08,3624.73,3626.89
1547334000,3626.88,3627.97,3600.91,3619.41
1547337600,3619.38,3625.24,3608.14,3609.6
1547341200,3609.61,3613.06,3601,3603.63
1547344800,3603.58,3618.08,3602.35,3618.08
1547348400,3618.07,3624,3617.6,3624
1547352000,3624,3625.32,3614.61,3621.07
1547355600,3621.06,3621.06,3615,3616
1547359200,3616,3616.68,3609.52,3612.01
1547362800,3612.02,3613.81,3610.51,3612.49
1547366400,3612.5,3617.68,3610.5,3610.96
1547370000,3610.95,3618.21,3604.04,3618.21
1547373600,3618.21,3619.99,3613.06,3618.06
1547377200,3618.07,3619.89,3613.65,3618.05
1547380800,3618.05,3641.86,3592.92,3618.63
1547384400,3618.69,3623.3,3615.16,3622
1547388000,3622,3622,3610,3612.24
1547391600,3612.24,3616,3607.61,3614.81
1547395200,3614.81,3614.91,3481.54,3505.91
1547398800,3505.01,3524.18,3483.36,3520
1547402400,3520,3522,3502,3506.7
1547406000,3506.7,3513.82,3504,3504.66
1547409600,3504.66,3509.26,3496.14,3498.74
1547413200,3498.73,3530.6,3482,3516.65
1547416800,3516.32,3516.76,3504.84,3505.94
1547420400,3505.93,3514.24,3492.17,3514.24
1547424000,3514.24,3517.2,3509.24,3516.71
1547427600,3517.09,3524.48,3511.32,3519.72
1547431200,3519.71,3525,3518.57,3522.25
1547434800,3522.25,3522.26,3519,3520.91
1547438400,3520.91,3531,3519.84,3531
1547442000,3531,3539,3527.92,3534.51
1547445600,3534.51,3545.67,3534.5,3541.69
1547449200,3541.69,3548,3536.26,3536.38
1547452800,3536.37,3541,3532.2,3538.54
1547456400,3538.54,3542.49,3532.02,3538.19
1547460000,3538.18,3566.51,3523.01,3529.01
1547463600,3529.01,3534.75,3522.5,3523.64
1547467200,3524,3545.83,3523.79,3539.49
1547470800,3539.49,3549,3534.19,3536.64
1547474400,3536.88,3539.39,3530,3538.6
1547478000,3538.6,3686.52,3538,3669.65
1547481600,3669.64,3705.28,3656.32,3662.5
1547485200,3662.5,3675,3662.36,3671.51
1547488800,3671.51,3689.69,3667.22,3676.49
1547492400,3676.49,3683.69,3673,3679.46
1547496000,3679.46,3711.11,3663.59,3671.48
1547499600,3671.47,3671.92,3642.98,3665.87
1547503200,3665.87,3671.06,3655.52,3661
1547506800,3660.99,3676.75,3660.99,3664.19
1547510400,3664.18,3676.5,3661.01,3671
1547514000,3671,3684.38,3670.94,3672.59
1547517600,3672.58,3677,3671.01,3672.01
1547521200,3672,3675.7,3665.79,3669.72
1547524800,3669.71,3671.41,3665,3669.13
1547528400,3669.13,3670.05,3661,3664.06
1547532000,3664.06,3664.06,3656.85,3660.1
1547535600,3660.11,3668.18,3660.1,3666.88
1547539200,3666.99,3667.97,3660.1,3664.64
1547542800,3664.64,3665,3620.5,3639.99
1547546400,3639.99,3648.93,3632.56,3647.08
1547550000,3647.1,3650.8,3645.45,3648.8
1547553600,3648.8,3650.92,3632.3,3641
1547557200,3640.99,3668.48,3639.69,3659.44
1547560800,3658.77,3658.77,3652,3656.89
1547564400,3656.89,3669.75,3606.25,3630.99
1547568000,3631,3640,3618.15,3631.91
1547571600,3631.9,3637,3625.99,3634.91
1547575200,3634.91,3637.8,3625,3631.35
1547578800,3631.34,3634,3620.45,3633.58
1547582400,3633.58,3635,3538.63,3565.16
1547586000,3565.67,3580.89,3564.04,3568.48
1547589600,3568.48,3585.99,3567.56,3574.15
1547593200,3574.15,3586.13,3572.77,3580.76
1547596800,3580.19,3584.56,3572.52,3584.26
1547600400,3584.25,3593.09,3581.51,3590
1547604000,3590,3590,3580.01,3587.63
1547607600,3587.65,3597,3584.16,3596
1547611200,3596,3611,3595.99,3600.01
1547614800,3600.01,3606.55,3594.5,3604.28
1547618400,3604.27,3605.57,3590.29,3591.76
1547622000,3592.16,3597,3579,3579.02
1547625600,3579.01,3625.02,3579.01,3610.92
1547629200,3610.92,3629.07,3608,3608.01
1547632800,3608.01,3622,3608.01,3615.28
1547636400,3615.28,3619.99,3613,3614.94
1547640000,3614.93,3666.73,3614.93,3634
1547643600,3633.99,3640.99,3599,3614.99
1547647200,3614,3633.41,3612.18,3621.17
1547650800,3621.16,3635,3605,3614.69
1547654400,3614.69,3617.18,3577.1,3602.27
1547658000,3602.28,3609,3602.28,3608.35
1547661600,3608.36,3627.71,3595.01,3609.44
1547665200,3609.44,3610,3584,3594.48
1547668800,3594.49,3597.11,3577.05,3590.01
1547672400,3590.01,3625.03,3590.01,3602.48
1547676000,3602.47,3604.46,3598.88,3598.9
1547679600,3598.89,3616.42,3598.88,3609.71
1547683200,3609.71,3614.5,3601,3603
1547686800,3603,3613,3598,3609.98
1547690400,3609.99,3614.5,3571,3571.01
1547694000,3571.01,3587,3571.01,3587
1547697600,3586.99,3595,3582.8,3585.78
1547701200,3585.78,3591.62,3582,3584.21
1547704800,3584.21,3597.5,3580.53,3589.48
1547708400,3589.48,3594.71,3583,3594.71
1547712000,3594.7,3597.36,3588.36,3595.33
1547715600,3595.33,3595.33,3584.33,3586.97
1547719200,3586.97,3603.36,3541,3592.15
1547722800,3592.14,3601,3589.47,3599.31
1547726400,3599.31,3599.76,3580,3589.1
1547730000,3589.1,3590,3580,3584.05
1547733600,3584.05,3593,3575,3590.5
1547737200,3590.5,3621.87,3590.49,3613.31
1547740800,3613.31,3649.61,3602,3605.48
1547744400,3605.48,3623.06,3597,3619.01
1547748000,3619.01,3643.88,3617.94,3630.99
1547751600,3631,3635.04,3626,3626.17
1547755200,3626.16,3630,3621.5,3627.08
1547758800,3627.09,3657,3623.84,3626.1
1547762400,3626,3631.36,3616,3630.38
1547766000,3630,3648.73,3629.99,3640.65
1547769600,3640.64,3643.69,3626.3,3631.06
1547773200,3631.07,3637.39,3623.49,3627.41
1547776800,3626.8,3632.82,3626.45,3628.99
1547780400,3628.99,3629.5,3622.11,3623.51
1547784000,3623.51,3626.95,3616,3616.01
1547787600,3616,3623.01,3616,3619.51
1547791200,3619.51,3629.24,3619.51,3626.45
1547794800,3627.24,3629.24,3616.08,3628.56
1547798400,3628.56,3629.43,3623.85,3625.88
1547802000,3625.88,3629.99,3625.86,3629.53
1547805600,3629.53,3630.45,3608,3612.62
1547809200,3612.62,3613.19,3607.2,3610.01
1547812800,3610.01,3610.01,3588,3603.95
1547816400,3603.95,3610.01,3601.97,3605.63
1547820000,3605.63,3609.01,3602.07,3606.31
1547823600,3606.12,3625,3606,3625
1547827200,3625,3625,3605,3610.59
1547830800,3610.59,3613.73,3588,3595.01
1547834400,3595.01,3604,3593,3599.12
1547838000,3599.12,3600.19,3580.16,3600.19
1547841600,3600.19,3610,3599.99,3607
1547845200,3606.71,3616.32,3603.4,3612.17
1547848800,3611.63,3618.51,3609.5,3609.51
1547852400,3609.52,3612.03,3606.24,3607.85
1547856000,3607.85,3618.39,3604.9,3606.48
1547859600,3606.48,3616,3606.47,3616
1547863200,3616,3626.1,3616,3621.91
1547866800,3621.92,3626.82,3620,3622.92
1547870400,3622.92,3629.99,3621.85,3624.26
1547874000,3624.25,3628.16,3614.63,3616.93
1547877600,3616.92,3622.5,3616.3,3618.77
1547881200,3618.77,3621.99,3617.8,3618.98
1547884800,3618.98,3624.76,3618.97,3624.76
1547888400,3624.76,3626.75,3623.01,3624.43
1547892000,3624.43,3765.9,3624.43,3726.26
1547895600,3725.7,3732.66,3715,3719
1547899200,3719,3722.95,3715,3722.42
1547902800,3722.41,3722.42,3706.17,3711.96
1547906400,3711.95,3713.48,3706.64,3706.66
1547910000,3706.66,3713.24,3705.16,3707.07
1547913600,3707.07,3715.36,3706.46,3713.99
1547917200,3714,3716.42,3710.89,3712.91
1547920800,3713.43,3715,3679.25,3704.23
1547924400,3704.23,3705.62,3700,3705.49
1547928000,3705.49,3705.79,3691.61,3703.46
1547931600,3703.46,3705.99,3695.84,3702.92
1547935200,3702.92,3706.49,3695,3697.2
1547938800,3697.2,3699.89,3682.24,3682.65
1547942400,3683.5,3688.18,3677.16,3687.99
1547946000,3687.99,3703.39,3687.98,3696.13
1547949600,3696.13,3699,3695.51,3695.53
1547953200,3695.52,3699.35,3695.51,3696.07
1547956800,3696.07,3700,3695.51,3697.42
1547960400,3697.42,3697.42,3690,3690
1547964000,3690.49,3690.49,3685.05,3687.06
1547967600,3687.06,3690,3687.06,3689.4
1547971200,3689.4,3692,3687.26,3691.85
1547974800,3691.85,3700.24,3689.5,3692
1547978400,3692,3692.02,3689.11,3690
1547982000,3690,3690,3580.5,3588.06
1547985600,3588.95,3593.64,3481.01,3514.01
1547989200,3514.95,3527.82,3503.48,3525.01
1547992800,3525,3531.05,3517.88,3524.43
1547996400,3524.44,3529.19,3509,3521
1548000000,3521,3529,3507.86,3527.24
1548003600,3527.24,3527.24,3510,3520.01
1548007200,3520.01,3524.52,3517,3519.11
1548010800,3519.42,3520,3517,3520
1548014400,3520,3547.42,3517.57,3533.75
1548018000,3533.77,3544.08,3531.64,3539.21
1548021600,3539.21,3550,3539.2,3547.01
1548025200,3547.01,3547.01,3533,3536.19
1548028800,3537.56,3550.52,3532.77,3536.89
1548032400,3536.89,3540,3534,3538.27
1548036000,3538.27,3543.78,3536.53,3537.71
1548039600,3537.71,3537.71,3517.5,3537.5
1548043200,3537.5,3537.5,3508.21,3530.51
1548046800,3530.51,3533.48,3524.68,3533.48
1548050400,3533.48,3542.33,3531.07,3533.57
1548054000,3533.57,3533.57,3527.09,3532.77
1548057600,3532.76,3534.55,3523.23,3529.27
1548061200,3529.27,3538.52,3524,3526.09
1548064800,3526.09,3556.01,3524.02,3538.71
1548068400,3537.57,3555.14,3535.45,3549.21
1548072000,3549.22,3549.22,3537.83,3545.67
1548075600,3545.25,3568.95,3540,3541.78
1548079200,3541.78,3545.01,3531.24,3536.2
1548082800,3536.2,3542.39,3530,3538.32
1548086400,3538.32,3546.1,3536.83,3546.09
1548090000,3546.1,3547.72,3538.84,3543.91
1548093600,3543.91,3544,3535.24,3543.01
1548097200,3543,3548,3539,3539.01
1548100800,3539.01,3539.8,3535.86,3539.31
1548104400,3539.31,3542,3519.45,3519.53
1548108000,3519.52,3531,3487.37,3531
1548111600,3531,3539,3530.45,3531.76
1548115200,3531.75,3540,3530.79,3539.35
1548118800,3539.35,3540.83,3536.36,3538.01
1548122400,3538.31,3557.11,3534.84,3537.01
1548126000,3537,3538.51,3530.02,3536.17
1548129600,3536.16,3540,3528.07,3528.52
1548133200,3528.51,3532.5,3526,3529.56
1548136800,3529.55,3529.55,3520.61,3521.2
1548140400,3521.56,3523.77,3515.61,3522.72
1548144000,3522.72,3532.99,3521.48,3532.99
